E	Frank Churchill	Frank Churchill
E	Frank	Frank Churchill
E	Mr. Frank Churchill	Frank Churchill
E	George Knightley	George Knightley
E	George	George Knightley
E	Knightley	George Knightley
E	Mr. Knightley	George Knightley
E	Emma Woodhouse	Emma Woodhouse
E	Miss Emma	Emma Woodhouse
E	Miss Woodhouse	Emma Woodhouse
E	Emma	Emma Woodhouse
E	Mr. Woodhouse	Mr. Woodhouse
E	Poor Mr. Woodhouse	Mr. Woodhouse
E	papa	Mr. Woodhouse
E	dear papa	Mr. Woodhouse
E	my papa	Mr. Woodhouse
E	my dear papa	Mr. Woodhouse
E	Grandpapa	Mr. Woodhouse
E	Jane Fairfax	Jane Fairfax
E	Miss Fairfax	Jane Fairfax
E	Miss Bates 's niece	Jane Fairfax
E	Jane	Jane Fairfax
E	Isabella Knightley	Isabella Knightley
E	Isabella	Isabella Knightley
E	Philip Elton	Philip Elton
E	Mr. Elton	Philip Elton
E	Mr. E.	Philip Elton
E	Philip	Philip Elton
E	Anna Weston	Anna Weston
E	Mrs. Weston	Anna Weston
E	Anna	Anna Weston
E	Miss Taylor	Anna Weston
E	Augusta Elton	Augusta Elton
E	Mrs. Elton	Augusta Elton
E	Augusta	Augusta Elton
E	Harriet Smith	Harriet Smith
E	Miss Smith	Harriet Smith
E	poor Harriet	Harriet Smith
E	Harriet	Harriet Smith
E	Isabella Knightley	Isabella Knightley
E	Mrs. John Knightley	Isabella Knightley
E	Isabella	Isabella Knightley
E	John Knightley	John Knightley
E	Mr. John Knightley	John Knightley
E	John	John Knightley
E	poor Miss Bates	Miss Bates
E	Miss Bates	Miss Bates
E	Hetty	Miss Bates
E	Mrs. Bates	Mrs. Bates
E	grandmama	Mrs. Bates
E	her grandmother	Mrs. Bates
E	Mr. Perry	Mr. Perry
E	Mr. Weston	Mr. Weston
E	Captain Weston	Mr. Weston
E	Mrs. Cole	Mrs. Cole
E	Robert Martin	Robert Martin
E	Mr. Martin	Robert Martin
E	Robert	Robert Martin
MP	Henry Crawford	Henry Crawford
MP	Crawford	Henry Crawford
MP	Henry	Henry Crawford
MP	Mr. Crawford	Henry Crawford
MP	her cousin Edmund	Edmund Bertram
MP	Edmund Bertram	Edmund Bertram
MP	Edmund	Edmund Bertram
MP	Fanny Price	Fanny Price
MP	Fanny	Fanny Price
MP	Miss Price	Fanny Price
MP	My Fanny	Fanny Price
MP	Lady Maria Bertram	Lady Bertram
MP	Her aunt Bertram	Lady Bertram
MP	her ladyship	Lady Bertram
MP	Lieutenant Price	Lieutenant Price
MP	Mr. Price	Lieutenant Price
MP	Mrs. Norris	Mrs. Norris
MP	Mrs. Frances Price	Mrs. Price
MP	Sir Thomas Bertram	Sir Thomas Bertram
MP	Sir Thomas	Sir Thomas Bertram
MP	Mary Crawford	Mary Crawford
MP	Miss Crawford	Mary Crawford
MP	Mary	Mary Crawford
MP	Julia Bertram	Julia Bertram
MP	Julia	Julia Bertram
MP	Susan Price	Susan Price
MP	Susan	Susan Price
MP	Tom Bertram	Tom Bertram
MP	Tom	Tom Bertram
MP	William Price	William Price
MP	William	William Price
MP	Dr. Grant	Dr. Grant
MP	Lady Bertram	Lady Bertram
MP	Maria Bertram	Maria Bertram
MP	Miss Bertram	Maria Bertram
MP	Maria	Maria Bertram
MP	Maria Rushworth	Maria Bertram
MP	Mr. Rushworth	Mr. Rushworth
MP	Rushworth	Mr. Rushworth
MP	James Rushworth	Mr. Rushworth
MP	Mr. Yates	Mr. Yates
MP	Mrs. Grant	Mrs. Grant
MP	Mrs. Norris	Mrs. Norris
MP	Your aunt Norris	Mrs. Norris
MP	my aunt Norris	Mrs. Norris
MP	Mrs. Price	Mrs. Price
MP	Mrs. Rushworth	Mrs. Rushworth
MP	Sir Thomas Bertram	Sir Thomas Bertram
MP	Tom Bertram	Tom Bertram
MP	Tom	Tom Bertram
NA	John Thorpe	John Thorpe
NA	Mr. Thorpe	John Thorpe
NA	John	John Thorpe
NA	Thorpe	John Thorpe
NA	Poor Thorpe	John Thorpe
NA	Henry Tilney	Henry Tilney
NA	Henry	Henry Tilney
NA	Mr. Tilney	Henry Tilney
NA	Catherine Morland	Catherine Morland
NA	Catherine	Catherine Morland
NA	their young friend	Catherine Morland
NA	my heroine	Catherine Morland
NA	our heroine	Catherine Morland
NA	Miss Morland	Catherine Morland
NA	Mrs. Morland	Mrs. Morland
NA	James Morland	James Morland
NA	James	James Morland
NA	Morland	James Morland
NA	Mr. Morland	James Morland
NA	John Thorpe	John Thorpe
NA	John	John Thorpe
NA	Eleanor Tilney	Eleanor Tilney
NA	Eleanor	Eleanor Tilney
NA	Miss Tilney	Eleanor Tilney
NA	General Tilney	General Tilney
NA	the General	General Tilney
NA	The General	General Tilney
NA	General	General Tilney
NA	Henry ’s father	General Tilney
NA	Isabella Thorpe	Isabella Thorpe
NA	Miss Thorpe	Isabella Thorpe
NA	Isabella	Isabella Thorpe
NA	Mr. Allen	Mr. Allen
NA	Old Allen	Mr. Allen
NA	Mrs. Allen	Mrs. Allen
NA	Mrs. Thorpe	Mrs. Thorpe
NA	Frederick Tilney	Frederick Tilney
NA	Captain Tilney	Frederick Tilney
NA	Frederick	Frederick Tilney
P	William Elliot	William Elliot
P	William	William Elliot
P	Captain Wentworth	Captain Wentworth
P	Captain Frederick Wentworth	Captain Wentworth
P	Frederick	Captain Wentworth
P	Captain	Captain Wentworth
P	Anne Elliot	Anne Elliot
P	Anne	Anne Elliot
P	Lady Russell	Lady Russell
P	Sir Walter Elliot	Sir Walter Elliot
P	Louisa Musgrove	Louisa Musgrove
P	Louisa	Louisa Musgrove
P	Elizabeth Elliot	Elizabeth Elliot
P	Elizabeth	Elizabeth Elliot
P	Mary Musgrove	Mary Musgrove
