dataset,Sim_diffs,comparison,category,exclude,novel,character,simIn,simOut
gpt4,0.3888888888888889,F,0,E,Anna Weston,7,11
gpt4,0.75,F,0,E,Augusta Elton,21,7
gpt4,0.375,F,0,E,Emma Woodhouse,6,10
gpt4,0.7777777777777778,F,0,E,Harriet Smith,14,4
gpt4,0.6190476190476191,F,0,E,Isabella Knightley,13,8
gpt4,0.8333333333333334,F,0,E,Jane Fairfax,15,3
gpt4,0.8888888888888888,F,0,E,Miss Bates,16,2
gpt4,0.7647058823529411,F,0,E,Mrs. Cole,13,4
gpt4,0.75,F,0,MP,Fanny Price,15,5
gpt4,0.6,F,0,MP,Julia Bertram,9,6
gpt4,0.6956521739130435,F,0,MP,Lady Bertram,16,7
gpt4,0.7,F,0,MP,Maria Bertram,7,3
gpt4,0.5555555555555556,F,0,MP,Mary Crawford,10,8
gpt4,0.7,F,0,MP,Mrs. Grant,7,3
gpt4,0.7222222222222222,F,0,MP,Mrs. Norris,13,5
gpt4,0.85,F,0,MP,Mrs. Price,17,3
gpt4,0.6190476190476191,F,0,MP,Mrs. Rushworth,13,8
gpt4,0.625,F,0,MP,Susan Price,15,9
gpt4,0.7333333333333333,F,0,N,Catherine Morland,11,4
gpt4,1.0,F,0,N,Eleanor Tilney,19,0
gpt4,0.6666666666666666,F,0,N,Isabella Thorpe,16,8
gpt4,0.7692307692307693,F,0,N,Mrs. Allen,20,6
gpt4,0.7619047619047619,F,0,N,Mrs. Morland,16,5
gpt4,0.8,F,0,N,Mrs. Thorpe,16,4
gpt4,0.6666666666666666,F,0,P,Anne Elliot,10,5
gpt4,0.7619047619047619,F,0,P,Elizabeth Elliot,16,5
gpt4,0.6363636363636364,F,0,P,Henrietta Musgrove,14,8
gpt4,0.6521739130434783,F,0,P,Lady Russell,15,8
gpt4,0.5,F,0,P,Louisa Musgrove,6,6
gpt4,0.65,F,0,P,Mary Musgrove,13,7
gpt4,0.7391304347826086,F,0,P,Mrs. Clay,17,6
gpt4,0.45454545454545453,F,0,P,Mrs. Croft,5,6
gpt4,0.7,F,0,P,Mrs. Harville,7,3
gpt4,0.7,F,0,P,Mrs. Musgrove,7,3
gpt4,0.7,F,0,P,Mrs. Smith,7,3
gpt4,0.9090909090909091,F,0,P&P,Caroline Bingley,10,1
gpt4,0.75,F,0,P&P,Charlotte Lucas,18,6
gpt4,0.9285714285714286,F,0,P&P,Elizabeth Bennet,13,1
