fic_id,chapter_id,para_id,text,text_tokenized
emma_30,1,1," XII One thing only was wanting to make the prospect of the ball completely satisfactory to Emma -- its being fixed for a day within the granted term of Frank Churchill 's stay in Surry ; for , in spite of Mr. Weston 's confidence , she could not think it so very impossible that the Churchills might not allow their nephew to remain a day beyond his fortnight . "," XII One thing only was wanting to make the prospect of the ball completely satisfactory to Emma -- its being fixed for a day within the granted term of Frank Churchill 's stay in Surry ; for , in spite of Mr. Weston 's confidence , she could not think it so very impossible that the Churchills might not allow their nephew to remain a day beyond his fortnight . "
emma_30,1,2,"But this was not judged feasible . The preparations must take their time , nothing could be properly ready till the third week were entered on , and for a few days they must be planning , proceeding and hoping in uncertainty -- at the risk-- in her opinion , the great risk , of its being all in vain . ","But this was not judged feasible . The preparations must take their time , nothing could be properly ready till the third week were entered on , and for a few days they must be planning , proceeding and hoping in uncertainty -- at the risk-- in her opinion , the great risk , of its being all in vain . "
emma_30,1,3,"Enscombe however was gracious , gracious in fact , if not in word . ","Enscombe however was gracious , gracious in fact , if not in word . "
emma_30,1,4,His wish of staying longer evidently did not please ; but it was not opposed . ,His wish of staying longer evidently did not please ; but it was not opposed . 
emma_30,1,5,"All was safe and prosperous ; and as the removal of one solicitude generally makes way for another , Emma , being now certain of her ball , began to adopt as the next vexation Mr. Knightley 's provoking indifference about it . ","All was safe and prosperous ; and as the removal of one solicitude generally makes way for another , Emma , being now certain of her ball , began to adopt as the next vexation Mr. Knightley 's provoking indifference about it . "
emma_30,1,6,"Either because he did not dance himself , or because the plan had been formed without his being consulted , he seemed resolved that it should not interest him , determined against its exciting any present curiosity , or affording him any future amusement . ","Either because he did not dance himself , or because the plan had been formed without his being consulted , he seemed resolved that it should not interest him , determined against its exciting any present curiosity , or affording him any future amusement . "
emma_30,1,7,"To her voluntary communications Emma could get no more approving reply , than , "" Very well . ","To her voluntary communications Emma could get no more approving reply , than , "" Very well . "
emma_30,1,8,"If the Westons think it worth while to be at all this trouble for a few hours of noisy entertainment , I have nothing to say against it , but that they shall not chuse pleasures for me.-- Oh ! ","If the Westons think it worth while to be at all this trouble for a few hours of noisy entertainment , I have nothing to say against it , but that they shall not chuse pleasures for me.-- Oh ! "
emma_30,1,9,"yes , I must be there ; I could not refuse ; and I will keep as much awake as I can ; but I would rather be at home , looking over William Larkins 's week 's account ; ","yes , I must be there ; I could not refuse ; and I will keep as much awake as I can ; but I would rather be at home , looking over William Larkins 's week 's account ; "
emma_30,1,10,"much rather , I confess.-- Pleasure in seeing dancing!--not I , indeed -- I never look at it-- I do not know who does.--Fine dancing , I believe , like virtue , must be its own reward . ","much rather , I confess.-- Pleasure in seeing dancing!--not I , indeed -- I never look at it-- I do not know who does.--Fine dancing , I believe , like virtue , must be its own reward . "
emma_30,1,11,"Those who are standing by are usually thinking of something very different . "" This Emma felt was aimed at her ; and it made her quite angry . ","Those who are standing by are usually thinking of something very different . "" This Emma felt was aimed at her ; and it made her quite angry . "
emma_30,1,12,"It was not in compliment to Jane Fairfax however that he was so indifferent , or so indignant ; he was not guided by _ her _ feelings in reprobating the ball , for _ she _ enjoyed the thought of it to an extraordinary degree . ","It was not in compliment to Jane Fairfax however that he was so indifferent , or so indignant ; he was not guided by _ her _ feelings in reprobating the ball , for _ she _ enjoyed the thought of it to an extraordinary degree . "
emma_30,1,13,"It made her animated -- open hearted-- she voluntarily said;-- "" Oh ! ","It made her animated -- open hearted-- she voluntarily said;-- "" Oh ! "
emma_30,1,14,"Miss Woodhouse , I hope nothing may happen to prevent the ball . ","Miss Woodhouse , I hope nothing may happen to prevent the ball . "
emma_30,1,15,What a disappointment it would be ! ,What a disappointment it would be ! 
emma_30,1,16,"I do look forward to it , I own , with _ very _ great pleasure . "" ","I do look forward to it , I own , with _ very _ great pleasure . "" "
emma_30,1,17,It was not to oblige Jane Fairfax therefore that he would have preferred the society of William Larkins . ,It was not to oblige Jane Fairfax therefore that he would have preferred the society of William Larkins . 
emma_30,1,18,No!--she was more and more convinced that Mrs. Weston was quite mistaken in that surmise . ,No!--she was more and more convinced that Mrs. Weston was quite mistaken in that surmise . 
emma_30,1,19,There was a great deal of friendly and of compassionate attachment on his side -- but no love . ,There was a great deal of friendly and of compassionate attachment on his side -- but no love . 
emma_30,1,20,Alas ! there was soon no leisure for quarrelling with Mr. Knightley . ,Alas ! there was soon no leisure for quarrelling with Mr. Knightley . 
emma_30,1,21,Two days of joyful security were immediately followed by the over - throw of every thing . ,Two days of joyful security were immediately followed by the over - throw of every thing . 
emma_30,1,22,A letter arrived from Mr. Churchill to urge his nephew 's instant return . ,A letter arrived from Mr. Churchill to urge his nephew 's instant return . 
emma_30,1,23,"Mrs. Churchill was unwell-- far too unwell to do without him ; she had been in a very suffering state ( so said her husband ) when writing to her nephew two days before , though from her usual unwillingness to give pain , and constant habit of never thinking of herself , she had not mentioned it ; but now she was too ill to trifle , and must entreat him to set off for Enscombe without delay . ","Mrs. Churchill was unwell-- far too unwell to do without him ; she had been in a very suffering state ( so said her husband ) when writing to her nephew two days before , though from her usual unwillingness to give pain , and constant habit of never thinking of herself , she had not mentioned it ; but now she was too ill to trifle , and must entreat him to set off for Enscombe without delay . "
emma_30,1,24,"The substance of this letter was forwarded to Emma , in a note from Mrs. Weston , instantly . ","The substance of this letter was forwarded to Emma , in a note from Mrs. Weston , instantly . "
emma_30,1,25,"As to his going , it was inevitable . He must be gone within a few hours , though without feeling any real alarm for his aunt , to lessen his repugnance . He knew her illnesses ; they never occurred but for her own convenience . ","As to his going , it was inevitable . He must be gone within a few hours , though without feeling any real alarm for his aunt , to lessen his repugnance . He knew her illnesses ; they never occurred but for her own convenience . "
emma_30,1,26,"Mrs. Weston added , "" that he could only allow himself time to hurry to Highbury , after breakfast , and take leave of the few friends there whom he could suppose to feel any interest in him ; and that he might be expected at Hartfield very soon . "" This wretched note was the finale of Emma 's breakfast . When once it had been read , there was no doing any thing , but lament and exclaim . The loss of the ball -- the loss of the young man-- and all that the young man might be feeling!--It ","Mrs. Weston added , "" that he could only allow himself time to hurry to Highbury , after breakfast , and take leave of the few friends there whom he could suppose to feel any interest in him ; and that he might be expected at Hartfield very soon . "" This wretched note was the finale of Emma 's breakfast . When once it had been read , there was no doing any thing , but lament and exclaim . The loss of the ball -- the loss of the young man-- and all that the young man might be feeling!--It "
emma_30,1,27,was ,was 
emma_30,1,28,too wretched!-- ,too wretched!-- 
emma_30,1,29,"Such a delightful evening as it would have been!--Every body so happy ! and she and her partner the happiest!--""I said it would be so , "" was the only consolation . ","Such a delightful evening as it would have been!--Every body so happy ! and she and her partner the happiest!--""I said it would be so , "" was the only consolation . "
emma_30,1,30,Her father 's feelings were quite distinct . ,Her father 's feelings were quite distinct . 
emma_30,1,31,"He thought principally of Mrs. Churchill 's illness , and wanted to know how she was treated ; and as for the ball , it was shocking to have dear Emma disappointed ; but they would all be safer at home . ","He thought principally of Mrs. Churchill 's illness , and wanted to know how she was treated ; and as for the ball , it was shocking to have dear Emma disappointed ; but they would all be safer at home . "
emma_30,1,32,"Emma was ready for her visitor some time before he appeared ; but if this reflected at all upon his impatience , his sorrowful look and total want of spirits when he did come might redeem him . ","Emma was ready for her visitor some time before he appeared ; but if this reflected at all upon his impatience , his sorrowful look and total want of spirits when he did come might redeem him . "
emma_30,1,33,He felt the going away almost too much to speak of it . ,He felt the going away almost too much to speak of it . 
emma_30,1,34,His dejection was most evident . ,His dejection was most evident . 
emma_30,1,35,"He sat really lost in thought for the first few minutes ; and when rousing himself , it was only to say , "" Of all horrid things , leave - taking is the worst . ","He sat really lost in thought for the first few minutes ; and when rousing himself , it was only to say , "" Of all horrid things , leave - taking is the worst . "
emma_30,1,36,""" "" But you will come again , "" said Emma . ",""" "" But you will come again , "" said Emma . "
