fic_id,chapter_id,para_id,text,text_tokenized
persuasion_15,1,1, 15 , 15 
persuasion_15,1,2,"Sir Walter had taken a very good house in Camden Place , a lofty dignified situation , such as becomes a man of consequence ; and both he and Elizabeth were settled there , much to their satisfaction . ","Sir Walter had taken a very good house in Camden Place , a lofty dignified situation , such as becomes a man of consequence ; and both he and Elizabeth were settled there , much to their satisfaction . "
persuasion_15,1,3,"Anne entered it with a sinking heart , anticipating an imprisonment of many months , and anxiously saying to herself , "" Oh ! when shall I leave you again ? "" ","Anne entered it with a sinking heart , anticipating an imprisonment of many months , and anxiously saying to herself , "" Oh ! when shall I leave you again ? "" "
persuasion_15,1,4,"A degree of unexpected cordiality , however , in the welcome she received , did her good . ","A degree of unexpected cordiality , however , in the welcome she received , did her good . "
persuasion_15,1,5,"Her father and sister were glad to see her , for the sake of shewing her the house and furniture , and met her with kindness . ","Her father and sister were glad to see her , for the sake of shewing her the house and furniture , and met her with kindness . "
persuasion_15,1,6,"Her making a fourth , when they sat down to dinner , was noticed as an advantage . ","Her making a fourth , when they sat down to dinner , was noticed as an advantage . "
persuasion_15,1,7,"Mrs Clay was very pleasant , and very smiling , but her courtesies and smiles were more a matter of course . ","Mrs Clay was very pleasant , and very smiling , but her courtesies and smiles were more a matter of course . "
persuasion_15,1,8,"Anne had always felt that she would pretend what was proper on her arrival , but the complaisance of the others was unlooked for . ","Anne had always felt that she would pretend what was proper on her arrival , but the complaisance of the others was unlooked for . "
persuasion_15,1,9,"They were evidently in excellent spirits , and she was soon to listen to the causes . ","They were evidently in excellent spirits , and she was soon to listen to the causes . "
persuasion_15,1,10,They had no inclination to listen to her . ,They had no inclination to listen to her . 
persuasion_15,1,11,"After laying out for some compliments of being deeply regretted in their old neighbourhood , which Anne could not pay , they had only a few faint enquiries to make , before the talk must be all their own . ","After laying out for some compliments of being deeply regretted in their old neighbourhood , which Anne could not pay , they had only a few faint enquiries to make , before the talk must be all their own . "
persuasion_15,1,12,"Uppercross excited no interest , Kellynch very little : it was all Bath . ","Uppercross excited no interest , Kellynch very little : it was all Bath . "
persuasion_15,1,13,They had the pleasure of assuring her that Bath more than answered their expectations in every respect . ,They had the pleasure of assuring her that Bath more than answered their expectations in every respect . 
